"line","frequency","term_1","term_2","prediction"
"2517",25,"1990","286","minnesota"
"2518",20,"1990","by","leon"
"2519",35,"1990","draft","he"
"2524",55,"1990","sergeant","in"
"2525",20,"1990","the","present"
"2528",21,"1990","","as"
"2529",21,"1990","but","continu"
"2532",55,"1991","inspector","in"
"2533",20,"1991","jeremi","baskin"
"2536",55,"1992","and","chief"
"2539",29,"1992","there","wasnt"
"2541",31,"1993","with","the"
"2549",47,"1995","in","washington"
"2550",27,"1995","neurotoxicologist","and"
"2553",36,"1996","i","realli"
"2556",31,"1997","kyoto","protocol"
"2557",44,"1997","wyld","hide"
"2558",39,"1998","dartmouth","economist"
"2559",44,"1998","gimm","five"
"2561",32,"1998","public","of"
"2564",27,"1999","it","a"
"2567",29,"19th","and","20th"
"2568",44,"19th","butler","cabin"
"2571",39,"19yearold","bobbi","kristina"
"2572",48,"1d","pic","cuz"
"2574",51,"1pm","game","i"
"2577",37,"1st","arrondiss","would"
"2578",49,"1st","big","customer"
"2579",26,"1st","class","out"
