"line","frequency","Term"
"1804",30,"ðÿðÿ"
"1805",38,""
"1808",35,"america"
"1809",35,"but"
"1810",35,"he"
"1811",54,"i"
"1812",38,"im"
"1814",36,"if"
"1815",97,"it"
"1816",38,"old"
"1818",22,"sometim"
"1819",26,"the"
"1820",36,"then"
"1821",22,"wait"
"1823",36,"we"
"1824",49,"there"
"1827",28,"12"
"1830",28,"18"
"1833",22,"3000"
"1837",371,""
"1839",26,"but"
"1840",47,"mayb"
"1845",36,"im"
"1846",36,"it"
"1849",33,"almost"
"1850",30,"an"
"1852",33,"apricot"
"1853",31,"asian"
"1855",33,"bare"
"1857",27,"be"
"1860",32,"bring"
"1862",31,"cal"
"1863",21,"country"
"1875",33,"frai"
"1877",32,"go"
"1878",35,"golden"
"1880",22,"heart"
"1881",33,"heirloom"
"1882",43,"imman"
"1884",43,"internal"
"1885",27,"i"
"1888",23,"justice"
"1890",42,"liber"
"1892",25,"martyrs"
"1893",40,"medium"
"1894",33,"nobodi"
"1897",33,"pale"
"1898",30,"palestinian"
"1901",43,"relat"
"1903",33,"sage"
"1908",29,"special"
"1909",20,"subscrib"
"1913",42,"the"
"1917",33,"timber"
"1918",22,"top"
"1922",22,"unknown"
"1924",43,"void"
"1925",40,"wakil"
"1927",43,"watch"
"1928",39,"we"
"1931",33,"white"
"1932",33,"wild"
"1937",2933,""
"1938",2576,""
"1942",41,"milltown"
"1943",75,""
"1944",4076,""
"1945",29,"unknown"
"1947",21,"gandhi"
"1958",957,""
"1960",31,"1"
"1961",31,"3"
"1965",34,"accid"
"1966",82,"accident"
"1967",30,"accidentally"
"1969",35,"addison"
"1970",29,"after"
"1971",36,"all"
"1974",27,"an"
"1975",88,"and"
"1976",52,"ani"
"1979",30,"attitudey"
"1980",20,"awaken"
"1981",41,"back"
"1982",44,"base"
"1983",50,"be"
"1986",33,"big"
"1988",23,"bob"
"1990",30,"boneless"
"1991",37,"brianna"
"1992",42,"buffett"
"1995",98,"busi"
"1996",28,"busy"
"1997",59,"but"
"2002",36,"cau"
"2004",28,"cherrypicking"
"2005",22,"christma"
"2006",29,"cold"
"2008",35,"commun"
"2009",31,"compass"
"2010",22,"connect"
"2012",28,"crowd"
"2016",37,"delli"
"2017",37,"dhobi"
"2018",55,"did"
"2021",153,"do"
"2022",44,"doe"
"2025",27,"dr"
"2026",33,"easi"
"2032",34,"everi"
