"line","frequency","term","prediction"
"1604",38,"12","teaspoon"
"1605",57,"12","toward"
"1610",67,"1010","lock"
"1618",198,"10","000"
"1619",70,"10","000th"
"1622",35,"10","20pm"
"1624",61,"10","30"
"1626",85,"10","30pm"
"1627",35,"10","36pm"
"1631",33,"10","all"
"1632",193,"10","am"
"1633",38,"10","am2"
"1637",31,"10","ar"
"1638",46,"10","at"
"1641",23,"10","buffalo"
"1643",26,"10","dai"
"1644",27,"10","deci"
"1645",46,"10","devic"
"1649",21,"10","facebook"
"1651",44,"10","former"
"1652",24,"10","four"
"1654",31,"10","gig"
"1657",29,"10","i"
"1664",22,"10","mil"
"1665",84,"10","minut"
"1666",221,"10","minut"
"1667",28,"10","month"
"1668",36,"10","month"
"1671",61,"10","or"
"1672",45,"10","our"
"1673",36,"10","pai"
"1674",33,"10","peopl"
"1677",60,"10","point"
"1681",42,"10","the"
"1683",43,"10","to"
"1685",271,"10","year"
"1686",53,"10","year"
"1688",28,"10","of"
"1692",136,"100","000"
"1696",48,"100","anyon"
"1697",31,"100","award"
"1698",37,"100","degr"
"1699",60,"100","follow"
"1700",24,"100","in"
"1702",41,"100","mildmann"
"1705",64,"100","of"
"1707",31,"100","pass"
"1711",21,"100","squar"
"1717",44,"100","year"
"1722",65,"100","off"
"1724",24,"100","sued"
"1727",34,"100g","plain"
"1729",70,"100k","follow"
"1730",36,"100m","hurdl"
"1732",62,"100th","post"
"1733",37,"101","and"
"1734",34,"101","birthdai"
"1735",21,"101","by"
"1737",41,"101","in"
"1740",21,"101","w"
"1741",24,"1010","deadlock"
"1743",34,"1012","minut"
"1747",45,"10186","on"
"1751",26,"1030","pm"
"1752",21,"1040","form"
"1756",20,"1054","9"
"1758",34,"107","thei"
"1759",33,"1070","while"
"1761",52,"108","protest"
"1762",39,"108","steal"
"1765",35,"10865","sw"
"1767",38,"109","percent"
"1769",36,"1090","radio"
"1771",45,"10am","tubman"
"1772",63,"10ish","hope"
"1773",27,"10lb","lighter"
"1775",31,"10minut","increment"
"1776",30,"10month","850"
"1779",24,"10pm","to"
"1780",20,"10th","among"
"1781",24,"10th","anniversari"
"1784",44,"10th","clan"
"1785",43,"10th","come"
"1790",54,"11","00am"
"1792",25,"11","11"
"1793",23,"11","2001"
"1796",53,"11","am"
"1797",47,"11","am3"
"1799",42,"11","ar"
"1801",38,"11","for"
"1805",46,"11","new"
"1806",41,"11","of"
"1807",76,"11","pm"
"1808",44,"11","point"
"1810",39,"11","seed"
"1811",46,"11","the"
"1812",36,"11","tom"
"1813",34,"11","tortoi"
"1814",30,"11","wa"
"1815",25,"11","with"
"1816",22,"11","year"
"1818",30,"110","wood"
"1820",47,"11025","florenc"
"1825",42,"112","spurt"
"1828",37,"113","million"
"1829",43,"113","not"
"1831",20,"1130","am4"
"1832",57,"1130","pm"
"1834",40,"114","million"
"1837",52,"1145","pm"
"1838",28,"115","short"
"1842",39,"1185","dinner"
"1843",38,"118th","street"
"1844",27,"119","000"
"1849",44,"11th","2008"
"1850",22,"11th","in"
"1855",28,"12yrold","vijai"
"1857",23,"12","02"
"1858",53,"12","10"
"1859",68,"12","30"
"1860",38,"12","48pm"
"1861",22,"12","8"
"1863",37,"12","alarm"
"1866",28,"12","applic"
"1867",38,"12","assist"
"1868",26,"12","billion"
"1870",57,"12","campu"
"1871",32,"12","children"
"1872",21,"12","confer"
"1873",21,"12","consecut"
"1874",47,"12","cool"
"1877",47,"12","dai"
"1878",40,"12","fat"
"1879",26,"12","for"
"1881",30,"12","front"
"1882",31,"12","gallon"
"1883",31,"12","game"
"1884",41,"12","game"
"1885",47,"12","goal"
"1886",33,"12","hour"
"1887",51,"12","hour"
"1889",29,"12","inch"
"1890",24,"12","it"
"1893",90,"12","month"
"1895",37,"12","note"
"1896",25,"12","oclock"
"1902",94,"12","percent"
"1904",28,"12","present"
"1906",20,"12","session"
"1907",34,"12","slot"
"1908",44,"12","solid"
"1910",29,"12","stack"
"1911",29,"12","the"
"1912",23,"12","us"
"1913",21,"12","will"
"1914",52,"12","x"
"1918",25,"120","for"
"1922",29,"121","34"
"1923",26,"1216","65"
"1924",29,"1224","hour"
"1925",21,"1227","48"
"1927",39,"1235","6th"
"1929",25,"124","000"
"1933",84,"126119","overtim"
"1935",37,"12724","michael"
"1936",43,"128","to"
"1937",31,"1296","million"
"1940",54,"12pm2pm","thi"
"1942",47,"12th","avenu"
"1943",26,"12th","fiveyear"
"1945",25,"12th","plan"
"1946",30,"12th","with"
"1949",38,"13yearold","son"
"1953",39,"13","31"
"1954",20,"13",""
"1958",29,"13","baltimor"
"1961",52,"13","januari"
"1963",41,"13","million"
"1964",38,"13","miner"
"1967",30,"13","of"
"1976",39,"13","year"
"1979",38,"135","in"
"1980",25,"130","am"
"1981",34,"130","million"
"1982",42,"130","other"
"1984",22,"134","percent"
"1985",37,"135","300"
"1987",38,"135","milligram"
"1989",43,"1359","look"
"1990",32,"135yard","third"
"1991",43,"1368","1405"
"1992",39,"13681643","brunch"
"1994",43,"1372","pivot"
"1996",43,"1376","1368"
"1997",36,"138","500"
"1999",43,"1380","best"
"2000",43,"1386","and"
"2001",38,"138yard","14th"
"2003",39,"139","750"
"2004",39,"139","to"
"2005",39,"1395","1235"
"2006",86,"1397","and"
"2007",21,"13game","win"
"2009",44,"13th","2004"
"2013",38,"13th","in"
"2016",34,"14","32"
"2019",26,"14","at"
"2020",73,"14","close"
"2021",32,"14","countri"
"2024",37,"14","film"
"2026",39,"14","for"
"2027",32,"14","game"
"2028",26,"14","grandchildren"
"2029",35,"14","had"
"2030",29,"14","he"
"2031",31,"14","her"
"2032",43,"14","i"
"2033",51,"14","million"
"2034",23,"14","of"
"2036",30,"14","percent"
"2037",38,"14","rebound"
"2040",35,"14","were"
"2041",37,"14","year"
"2042",60,"140","char"
"2043",71,"140","charaact"
"2044",20,"140","charact"
"2045",33,"140","on"
"2047",30,"140","word"
"2048",43,"1405","1397"
"2049",43,"1407","short"
"2052",39,"1412",""
"2053",43,"1414","1419"
"2054",43,"1419","and"
"2056",43,"1422","short"
"2058",41,"147","if"
"2059",34,"148","million"
"2061",38,"149page","document"
"2063",22,"14th","20"
"2064",36,"14th","all"
"2065",38,"14th","hole"
"2066",26,"14th","it"
"2067",44,"14th","quolibet"
"2068",63,"14th","show"
"2070",30,"1513","against"
"2071",30,"15yearold","girl"
"2074",31,"15","000squarefoot"
"2075",47,"15","1995"
"2076",23,"15","44"
"2079",30,"15","area"
"2080",42,"15","billion"
"2081",60,"15","dollar"
"2082",56,"15","for"
"2085",34,"15","hour"
"2087",63,"15","in"
"2089",59,"15","million"
"2091",42,"15","minut"
"2092",27,"15","minut"
"2098",24,"15","or"
"2100",22,"15","second"
"2101",37,"15","seed"
"2103",33,"15","that"
"2104",34,"15","time"
"2106",41,"15","trillion"
"2108",60,"15","year"
"2109",31,"15","of"
"2110",24,"15","off"
"2112",42,"150","000"
"2114",36,"150","employ"
"2115",41,"150","million"
"2116",41,"150","new"
"2121",33,"150","for"
"2122",43,"1500","live"
"2124",30,"152","000"
"2128",38,"15655","sw"
"2129",23,"159","000"
"2130",30,"159","to"
"2132",51,"15pm","on"
"2133",22,"15th","at"
"2136",44,"15th","king"
"2137",41,"15year","rate"
"2138",36,"15yearold","girl"
"2146",37,"16","game"
"2147",30,"16","grandchildren"
"2148",21,"16","i"
"2154",30,"16","time"
"2155",41,"16","to"
"2157",51,"16","wisconsin"
"2158",42,"16","year"
"2159",44,"161","i"
"2161",38,"160","million"
"2163",33,"162","074"
"2167",46,"163","over"
"2168",28,"16316683781","the"
"2171",26,"166","for"
"2172",31,"1666","market"
"2175",73,"16th","at"
"2178",53,"16th","stop"
"2179",41,"16yearold","femal"
"2188",52,"17","eurozon"
"2190",25,"17","had"
"2191",87,"17","i"
"2192",50,"17","million"
"2200",37,"17","year"
"2201",25,"1700","replant"
"2202",33,"170252005","accredit"
"2203",43,"172","with"
"2204",27,"175","000"
"2205",33,"175","or"
"2208",39,"176","run"
"2209",20,"1763",""
"2212",51,"17pm","on"
"2213",65,"17th","c"
"2215",26,"17th","chine"
"2216",35,"17th","of"
"2217",34,"17th","presid"
"2218",39,"17yearold","buckei"
"2222",42,"18wheeler","mani"
"2225",43,"18","addit"
"2226",39,"18","and"
"2227",39,"18","both"
"2228",43,"18","cent"
"2229",31,"18","fabul"
"2230",20,"18","for"
"2231",26,"18","hole"
"2233",34,"18","later"
"2236",32,"18","month"
"2237",23,"18","plate"
"2240",41,"18","st"
"2241",44,"18","wa"
"2248",36,"1801","countri"
"2252",39,"1836","when"
"2253",39,"1837","three"
"2254",41,"184","can"
"2255",31,"184","stoke"
"2256",36,"185","post"
"2257",46,"185","pound"
"2258",43,"1850","a"
"2259",40,"186","run"
"2261",21,"1862","the"
"2265",26,"188","million"
"2266",48,"1889","in"
"2269",44,"18th","lami"
"2271",44,"18th","shamawan"
"2272",33,"18th","tee"
"2277",43,"19","and"
"2280",31,"19","game"
"2283",28,"19","point"
"2286",41,"19","stu"
"2287",31,"19","turnov"
"2288",25,"19","year"
"2289",20,"1900","1054"
"2291",27,"1900","pdt"
"2292",37,"1907","but"
"2293",25,"1908","mcclellan"
"2294",40,"1913","raker"
"2296",23,"1920","in"
"2302",30,"1925","in"
"2303",46,"1925","ziegfeld"
"2305",38,"1928","per"
"2306",46,"1930","he"
"2307",23,"1930","he"
"2308",25,"1930","hi"
"2309",37,"1930","just"
"2311",32,"1931","through"
"2313",46,"1932","he"
"2314",29,"19351","instead"
"2315",46,"1940","and"
"2316",22,"1942","and"
"2322",34,"1948","and"
"2325",23,"1950","detroit"
"2328",35,"1950","and"
"2330",34,"1950","who"
"2335",30,"1953","div"
"2336",32,"1954","gunther"
"2337",21,"1955","kansa"
"2340",34,"1957","when"
"2342",24,"1960","whi"
"2343",32,"1960","and"
"2344",35,"1960","ar"
"2347",36,"1962","you"
"2359",28,"1965","new"
"2363",28,"1966","sourc"
"2369",49,"1967","to"
"2378",47,"1970","and"
"2379",49,"1970","hollington"
"2380",24,"1970","in"
"2383",43,"1970≤","work"
"2384",23,"1970","and"
"2385",44,"1970","disabl"
"2388",39,"1970","other"
"2390",41,"1971","the"
"2392",31,"1973","of"
"2400",32,"1979","dure"
"2402",43,"1980≤","neoliber"
"2403",21,"1980","and"
"2405",31,"1980","the"
"2406",37,"1981","graphic"
"2407",28,"1981","read"
"2408",35,"198286","zach"
"2411",58,"1984","i"
"2413",30,"1984","olymp"
"2414",40,"1984","she"
"2418",23,"1987","debut"
"2420",23,"1987","think"
"2426",39,"199","point"
"2427",25,"1990","286"
"2428",20,"1990","by"
"2429",36,"1990","draft"
"2433",55,"1990","sergeant"
"2434",20,"1990","the"
"2437",21,"1990",""
"2438",21,"1990","but"
"2441",55,"1991","inspector"
"2442",20,"1991","jeremi"
"2444",58,"1992","and"
"2448",29,"1992","there"
"2450",31,"1993","with"
"2459",47,"1995","in"
"2460",27,"1995","neurotoxicologist"
"2463",36,"1996","i"
"2466",31,"1997","kyoto"
"2467",44,"1997","wyld"
"2468",39,"1998","dartmouth"
"2469",44,"1998","gimm"
"2471",32,"1998","public"
"2472",45,"1999","2011"
"2475",27,"1999","it"
"2478",29,"19th","and"
"2479",44,"19th","butler"
"2482",39,"19yearold","bobbi"
"2483",48,"1d","pic"
"2486",51,"1pm","game"
"2489",37,"1st","arrondiss"
"2490",49,"1st","big"
"2491",26,"1st","class"
"2492",32,"1st","congress"
"2493",44,"1st","first"
"2494",26,"1st","grade"
"2495",26,"1st","homer"
"2497",31,"1st","junior"
"2499",47,"1st","step"
"2500",23,"1st","street"
"2502",51,"1st","time"
"2510",33,"2yearold","daughter"
"2513",47,"2","000"
"2517",40,"2","1912"
"2518",34,"2","1957"
"2519",31,"2","2"
"2520",26,"2","2012"
"2521",82,"2","3"
"2523",26,"2","4"
"2527",35,"2","954"
"2529",103,"2","a"
"2533",32,"2","add"
"2535",60,"2","all"
"2536",50,"2","and"
"2537",47,"2","ask"
"2538",38,"2","at"
"2540",48,"2","b"
"2543",37,"2","billion"
"2544",61,"2","bless"
"2545",35,"2","book"
"2546",29,"2","bridg"
"2547",38,"2","by"
"2549",38,"2","carrot"
"2551",32,"2","citi"
"2552",61,"2","clai"
"2553",25,"2","com"
"2555",56,"2","cup"
"2557",135,"2","dai"
"2560",67,"2","do"
"2562",51,"2","electron"
"2564",27,"2","find"
"2565",62,"2","for"
"2567",29,"2","full"
"2572",55,"2","green"
"2575",25,"2","hour"
"2576",27,"2","i"
"2580",51,"2","ion"
"2582",21,"2","it"
"2586",43,"2","mani"
"2588",29,"2","meet"
"2590",29,"2","metal"
"2591",26,"2","mile"
"2592",84,"2","million"
"2594",34,"2","minut"
"2595",62,"2","minut"
"2596",43,"2","month"
"2599",55,"2","new"
"2602",44,"2","offspr"
"2603",42,"2","often"
"2604",26,"2","over"
"2605",30,"2","oz"
"2607",62,"2","pant"
"2610",43,"2","plai"
"2611",76,"2","pm"
"2617",31,"2","sec"
"2620",52,"2","show"
"2621",20,"2","sleep"
"2623",56,"2","step"
"2630",193,"2","the"
"2631",41,"2","to"
"2636",23,"2","two"
"2637",38,"2","victori"
"2638",46,"2","week"
"2639",31,"2","white"
"2640",37,"2","with"
"2643",70,"2","year"
"2646",35,"2","young"
"2650",28,"2","thank"
"2651",32,"22312","he"
"2657",23,"20","26"
"2659",36,"20","adjac"
"2660",53,"20","but"
"2661",43,"20","cent"
"2664",51,"20","dai"
"2665",36,"20","feet"
"2669",44,"20","in"
"2672",39,"20","million"
"2673",105,"20","minut"
"2674",98,"20","minut"
"2676",24,"20","or"
"2678",34,"20","per"
"2679",61,"20","percent"
"2683",23,"20","second"
"2688",100,"20","yard"
"2689",122,"20","year"
"2690",29,"20","year"
"2692",50,"20","tipi"
"2693",25,"20","of"
"2694",47,"20","off"
"2695",25,"200","000"
"2699",31,"200","backstrok"
"2700",24,"200","case"
"2703",33,"200","follow"
"2704",37,"200","meter"
"2710",40,"200","posit"
"2714",43,"2000","peopl"
"2720",23,"2001","she"
"2721",34,"2001","and"
"2722",37,"2001","he"
"2723",32,"2001","incompet"
"2728",48,"2002","by"
"2729",41,"2002","in"
"2731",44,"2002","spot"
"2732",43,"2002","to"
"2733",49,"2003","and"
"2734",23,"2003","eventu"
"2736",33,"2003","inniskillin"
"2739",44,"2003","youlneverwalkalon"
"2740",35,"2004","account"
"2741",48,"2004","and"
"2742",44,"2004","clan"
"2743",42,"2004","roll"
"2748",30,"2005","but"
"2749",31,"2005","commenc"
"2750",38,"2005","guidelin"
"2751",35,"2005","in"
"2752",44,"2005","innox"
"2754",25,"2005","law"
